trip_date,total_trips,total_revenue,avg_distance,avg_fare,avg_duration,weekend_percentage,peak_hour
2025-02-01,146,3508.07,2.56,24.03,12.91,100.0,17
2025-02-02,134,3904.47,3.61,29.14,13.19,100.0,12
2025-02-03,113,3260.51,3.49,28.85,15.62,0.0,17
2025-02-04,126,3536.05,2.89,28.06,15.33,0.0,13
2025-02-05,134,3409.65,2.38,25.45,14.51,0.0,17
2025-02-06,120,3219.62,2.87,26.83,14.26,0.0,18
2025-02-07,150,3694.34,2.38,24.63,13.46,0.0,15
2025-02-08,139,3653.03,2.88,26.28,14.12,100.0,23
2025-02-09,119,3519.82,3.89,29.58,13.2,100.0,17
2025-02-10,119,3392.8,3.44,28.51,15.87,0.0,18
2025-02-11,139,3686.01,2.85,26.52,13.86,0.0,17
2025-02-12,141,3582.48,2.68,25.41,13.9,0.0,18
2025-02-13,134,3685.27,3.03,27.5,15.7,0.0,18
2025-02-14,135,4375.88,3.91,32.41,18.93,0.0,15
2025-02-15,152,4306.45,3.38,28.33,13.97,100.0,22
2025-02-16,108,2850.46,3.22,26.39,12.29,100.0,17
2025-02-17,104,3004.58,3.91,28.89,12.95,0.0,12
2025-02-18,119,3130.88,2.87,26.31,14.18,0.0,9
2025-02-19,148,4266.41,3.49,28.83,16.41,0.0,15
2025-02-20,140,3483.07,2.47,24.88,13.06,0.0,14
2025-02-21,131,3509.85,2.86,26.79,13.59,0.0,16
2025-02-22,151,3569.92,2.44,23.64,12.54,100.0,14
2025-02-23,115,3471.55,4.31,30.19,14.4,100.0,0
2025-02-24,96,2789.7,3.35,29.06,15.36,0.0,9
2025-02-25,136,3777.71,3.17,27.78,14.52,0.0,21
2025-02-26,143,4457.78,3.87,31.17,17.02,0.0,19
2025-02-27,153,4530.16,3.54,29.61,16.27,0.0,20
2025-02-28,162,5325.03,4.37,32.87,17.17,0.0,19
